new_filename,page_journal,page_docx,number,url
Svoboda_AR87,87,54,11691,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11691/default.jpg
Svoboda_AR88,88,53,11692,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11692/default.jpg
Svoboda_AR89,89,52,11693,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11693/default.jpg
Svoboda_AR90,90,51,11695,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11695/default.jpg
Svoboda_AR91,91,50,11696,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11696/default.jpg
Svoboda_AR92,92,49,11697,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11697/default.jpg
Svoboda_AR93,93,48,11698,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11698/default.jpg
Svoboda_AR94,94,47,11699,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11699/default.jpg
Svoboda_AR95,95,46,11700,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11700/default.jpg
Svoboda_AR96,96,45,11701,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11701/default.jpg
Svoboda_AR97,97,44,11702,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11702/default.jpg
Svoboda_AR98,98,43,11703,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11703/default.jpg
Svoboda_AR99,99,42,11704,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11704/default.jpg
Svoboda_AR100,100,41,11569,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11569/default.jpg
Svoboda_AR101,101,40,11570,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11570/default.jpg
Svoboda_AR102,102,39,11571,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11571/default.jpg
Svoboda_AR103,103,38,11572,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11572/default.jpg
Svoboda_AR104,104,37,11573,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11573/default.jpg
Svoboda_AR105,105,36,11574,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11574/default.jpg
Svoboda_AR106,106,35,11575,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11575/default.jpg
Svoboda_AR107,107,34,11576,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11576/default.jpg
Svoboda_AR108,108,33,11577,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11577/default.jpg
Svoboda_AR109,109,32,11578,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11578/default.jpg
Svoboda_AR110,110,31,11580,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11580/default.jpg
Svoboda_AR111,111,30,11581,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11581/default.jpg
Svoboda_AR112,112,29,11582,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11582/default.jpg
Svoboda_AR113,113,28,11583,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11583/default.jpg
Svoboda_AR114,114,27,11584,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11584/default.jpg
Svoboda_AR115,115,26,11585,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11585/default.jpg
Svoboda_AR116,116,25,11586,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11586/default.jpg
Svoboda_AR117,117,24,11587,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11587/default.jpg
Svoboda_AR118,118,23,11588,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11588/default.jpg
Svoboda_AR119,119,22,11589,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11589/default.jpg
Svoboda_AR120,120,21,11591,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11591/default.jpg
Svoboda_AR121,121,20,11592,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11592/default.jpg
Svoboda_AR122,122,19,11593,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11593/default.jpg
Svoboda_AR123,123,18,11594,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11594/default.jpg
Svoboda_AR124,124,17,11595,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11595/default.jpg
Svoboda_AR125,125,16,11596,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11596/default.jpg
Svoboda_AR126,126,15,11597,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11597/default.jpg
Svoboda_AR127,127,14,11598,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11598/default.jpg
Svoboda_AR128,128,13,11599,https://digitalcollections.lib.washington.edu/digital/api/singleitem/image/iraqdiaries/11599/default.jpg
